car_name,brand,model,avg_cost_price,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
Maruti Vitara,Maruti,Vitara,10.815,3,26000.0,Dealer,Diesel,Manual,24.3,1248.0,88.5,5.0,7.25
Ford Aspire,Ford,Aspire,7.65,4,30000.0,Individual,Petrol,Manual,18.16,1196.0,86.8,5.0,4.8
Hyundai i20,Hyundai,i20,10.475,8,15000.0,Individual,Petrol,Manual,18.5,1197.0,82.9,5.0,3.75
Maruti Swift,Maruti,Swift,7.7467155,10,160000.0,Individual,Diesel,Manual,17.8,1248.0,75.0,5.0,2.25
Tata Tiago,Tata,Tiago,6.76,4,32100.0,Individual,Petrol,Manual,23.84,1199.0,84.0,5.0,4.0
Hyundai i20,Hyundai,i20,10.72,5,22000.0,Dealer,Petrol,Manual,18.5,1197.0,82.9,5.0,5.5
Mahindra Scorpio,Mahindra,Scorpio,17.309855,5,44000.0,Dealer,Diesel,Manual,15.4,2179.0,120.0,7.0,10.5
Volkswagen Polo,Volkswagen,Polo,9.065,5,78000.0,Dealer,Petrol,Manual,18.78,1198.0,74.0,5.0,4.5
Maruti Wagon R,Maruti,Wagon R,6.05,7,37000.0,Individual,Petrol,Manual,20.51,998.0,67.04,5.0,3.5
Honda City,Honda,City,16.17,7,69000.0,Dealer,Diesel,Manual,25.1,1498.0,98.6,5.0,5.5
Kia Seltos,Kia,Seltos,15.195,2,12120.0,Individual,Petrol,Manual,16.8,1497.0,113.4,5.0,10.8
Maruti Baleno,Maruti,Baleno,8.693568,5,52000.0,Dealer,Petrol,Manual,21.01,1197.0,81.8,5.0,5.75
Toyota Innova,Toyota,Innova,24.86143,5,120000.0,Individual,Diesel,Manual,12.99,2494.0,100.6,8.0,9.5
Maruti Alto,Maruti,Alto,4.065,8,55000.0,Individual,Petrol,Manual,22.74,796.0,47.3,5.0,2.3
Hyundai i20,Hyundai,i20,9.94,10,160000.0,Individual,Diesel,Manual,21.9,1396.0,90.0,5.0,2.7
Ford Figo,Ford,Figo,7.02,10,40000.0,Individual,Petrol,Manual,15.6,1196.0,70.0,5.0,1.3
Maruti SwiftDzire,Maruti,SwiftDzire,8.24,9,46000.0,Dealer,Petrol,Manual,19.1,1197.0,85.8,5.0,3.7
Maruti Baleno,Maruti,Baleno,8.55,4,25000.0,Dealer,Petrol,Manual,21.4,1197.0,83.1,5.0,5.7
Volkswagen Polo,Volkswagen,Polo,9.283831,8,90000.0,Dealer,Diesel,Manual,22.07,1199.0,73.9,5.0,3.65
Hyundai i20,Hyundai,i20,10.810042,9,49566.0,Dealer,Petrol,Manual,18.5,1197.0,82.85,5.0,2.8
Hyundai Verna,Hyundai,Verna,15.69,3,14000.0,Dealer,Diesel,Automatic,22.0,1582.0,126.2,5.0,12.5
Hyundai i20,Hyundai,i20,10.72,5,11000.0,Dealer,Petrol,Manual,18.6,1197.0,81.83,5.0,5.9
Maruti Celerio,Maruti,Celerio,5.975,3,5000.0,Individual,Petrol,Automatic,23.1,998.0,67.04,5.0,4.75
Ford Ecosport,Ford,Ecosport,11.965,4,55000.0,Dealer,Diesel,Manual,23.0,1498.0,98.96,5.0,6.85
Hyundai Verna,Hyundai,Verna,14.583057,9,65000.0,Dealer,Diesel,Automatic,19.08,1582.0,126.32,5.0,3.8
Renault KWID,Renault,KWID,5.225,3,22000.0,Individual,Petrol,Manual,23.01,999.0,67.0,5.0,3.3
Maruti Baleno,Maruti,Baleno,8.55,3,7671.0,Trustmark Dealer,Petrol,Manual,21.01,1197.0,81.8,5.0,6.5
Maruti Wagon R,Maruti,Wagon R,5.95,5,66000.0,Individual,Petrol,Manual,20.51,998.0,67.04,5.0,3.25
Maruti SwiftDzire,Maruti,SwiftDzire,8.3,3,45156.0,Dealer,Petrol,Automatic,21.21,1197.0,81.8,5.0,6.4
Hyundai Venue,Hyundai,Venue,9.655,2,25000.0,Individual,Petrol,Manual,18.27,998.0,118.35,5.0,9.49
Hyundai Verna,Hyundai,Verna,15.465,6,120000.0,Individual,Diesel,Manual,23.9,1582.0,126.2,5.0,6.6
Maruti Swift,Maruti,Swift,7.81,7,28000.0,Dealer,Petrol,Manual,16.1,1197.0,85.0,5.0,4.35
Hyundai i20,Hyundai,i20,11.415,8,55000.0,Dealer,Diesel,Manual,21.9,1396.0,88.76,5.0,3.85
Hyundai Verna,Hyundai,Verna,15.69,2,14000.0,Dealer,Diesel,Automatic,22.0,1582.0,126.2,5.0,12.5
Maruti Wagon R,Maruti,Wagon R,6.185,12,98780.0,Dealer,Petrol,Manual,18.9,998.0,67.1,5.0,1.55
Maruti Swift,Maruti,Swift,7.7467155,6,58000.0,Dealer,Diesel,Manual,25.2,1248.0,74.0,5.0,4.15
Maruti Alto,Maruti,Alto,4.112027,10,30000.0,Individual,Petrol,Manual,20.92,998.0,67.1,5.0,2.51
Mahindra Scorpio,Mahindra,Scorpio,17.51,5,46400.0,Dealer,Diesel,Manual,15.4,2179.0,120.0,7.0,11.5
Hyundai i10,Hyundai,i10,7.1382666,7,32111.0,Trustmark Dealer,Petrol,Manual,19.81,1086.0,68.05,5.0,3.1
Datsun GO,Datsun,GO,6.34,6,35000.0,Individual,Petrol,Manual,19.44,1198.0,67.0,7.0,3.5
Mahindra Scorpio,Mahindra,Scorpio,17.51,4,30000.0,Dealer,Diesel,Manual,15.4,1997.0,120.0,7.0,11.25
Datsun GO,Datsun,GO,6.53,3,10000.0,Individual,Petrol,Manual,20.62,1198.0,67.0,7.0,4.8
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,4,25000.0,Individual,Diesel,Automatic,28.4,1248.0,74.02,5.0,8.5
Hyundai Creta,Hyundai,Creta,15.725,4,102000.0,Dealer,Diesel,Automatic,17.01,1582.0,126.2,5.0,11.0
Maruti Swift,Maruti,Swift,7.7467155,3,35000.0,Dealer,Petrol,Manual,22.0,1197.0,81.8,5.0,5.75
Maruti SwiftDzire,Maruti,SwiftDzire,8.3,9,49948.0,Dealer,Petrol,Manual,17.5,1298.0,85.8,5.0,3.4
Ford Ecosport,Ford,Ecosport,11.93,3,55000.0,Individual,Diesel,Manual,23.0,1498.0,98.96,5.0,9.25
Hyundai Grand,Hyundai,Grand,6.525,6,36000.0,Dealer,Petrol,Manual,18.9,1197.0,82.0,5.0,4.0
Honda City,Honda,City,14.74,5,49625.0,Dealer,Petrol,Manual,17.8,1497.0,117.3,5.0,7.25
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,7,35000.0,Individual,Diesel,Manual,23.4,1248.0,74.0,5.0,6.0
Mahindra Scorpio,Mahindra,Scorpio,16.995,8,95000.0,Individual,Diesel,Manual,12.05,2179.0,120.0,8.0,5.5
Ford Aspire,Ford,Aspire,9.9,4,36000.0,Dealer,Diesel,Manual,25.83,1498.0,99.0,5.0,5.85
Maruti Wagon R,Maruti,Wagon R,6.24,2,50000.0,Individual,Petrol,Manual,21.79,998.0,67.05,5.0,4.11
Maruti SwiftDzire,Maruti,SwiftDzire,8.465,6,26500.0,Individual,Petrol,Manual,20.85,1197.0,83.14,5.0,4.5
Volkswagen Polo,Volkswagen,Polo,9.283831,6,46000.0,Dealer,Petrol,Manual,16.47,1198.0,74.0,5.0,4.55
Hyundai Grand,Hyundai,Grand,7.435,2,9000.0,Individual,Petrol,Manual,20.7,1197.0,81.86,5.0,7.1
Honda City,Honda,City,14.74,5,53000.0,Dealer,Petrol,Manual,16.8,1497.0,116.3,5.0,7.7
Honda Amaze,Honda,Amaze,10.325,3,50000.0,Individual,Diesel,Manual,25.8,1498.0,98.6,5.0,7.2
Mahindra KUV,Mahindra,KUV,7.8038335,5,52000.0,Dealer,Diesel,Manual,25.32,1198.0,77.0,5.0,3.75
Datsun GO,Datsun,GO,6.34,6,35000.0,Individual,Petrol,Manual,19.44,1198.0,67.0,7.0,4.0
Renault Duster,Renault,Duster,14.168889,6,48000.0,Individual,Diesel,Manual,19.87,1461.0,83.8,5.0,6.0
Honda Jazz,Honda,Jazz,9.775,3,18000.0,Individual,Petrol,Manual,18.7,1199.0,88.7,5.0,6.0
Maruti Wagon R,Maruti,Wagon R,6.185586,9,57413.0,Individual,LPG,Manual,14.4,998.0,61.7,5.0,2.7
Hyundai i20,Hyundai,i20,10.145,6,30000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,5.0
Hyundai Verna,Hyundai,Verna,15.69,6,55000.0,Dealer,Diesel,Manual,23.9,1582.0,126.2,5.0,6.5
Maruti Swift,Maruti,Swift,7.715,3,10000.0,Individual,Petrol,Automatic,21.21,1197.0,81.8,5.0,6.6
Kia Seltos,Kia,Seltos,15.89,1,8000.0,Dealer,Petrol,Manual,16.8,1497.0,113.4,5.0,12.75
Maruti Swift,Maruti,Swift,7.7467155,6,65000.0,Dealer,Diesel,Manual,28.4,1248.0,74.0,5.0,4.95
Hyundai Grand,Hyundai,Grand,7.295,5,25000.0,Individual,Petrol,Manual,18.9,1197.0,82.0,5.0,4.75
Maruti Ciaz,Maruti,Ciaz,11.07,6,70000.0,Individual,Petrol,Manual,20.73,1373.0,91.1,5.0,5.3
Tata Tiago,Tata,Tiago,6.675,5,9500.0,Individual,Petrol,Manual,23.84,1199.0,84.0,5.0,5.3
Hyundai Verna,Hyundai,Verna,13.025,6,9100.0,Individual,Petrol,Manual,17.01,1591.0,121.3,5.0,6.5
Honda City,Honda,City,14.205,11,86000.0,Dealer,Petrol,Manual,17.0,1497.0,118.0,5.0,3.35
Ford Figo,Ford,Figo,8.737458,10,60000.0,Individual,Diesel,Manual,20.0,1399.0,68.0,5.0,3.0
Maruti Wagon R,Maruti,Wagon R,5.95,2,7883.0,Trustmark Dealer,Petrol,Automatic,21.5,1197.0,81.8,5.0,5.5
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,8,50205.0,Trustmark Dealer,Diesel,Manual,23.4,1248.0,74.0,5.0,3.9
Mahindra Bolero,Mahindra,Bolero,9.7,13,220000.0,Individual,Diesel,Manual,13.6,2523.0,63.0,7.0,2.6
Tata Tigor,Tata,Tigor,7.5416665,4,58000.0,Dealer,Diesel,Manual,24.7,1047.0,69.0,5.0,3.95
Mahindra Scorpio,Mahindra,Scorpio,17.165,9,170000.0,Individual,Diesel,Manual,12.05,2179.0,120.0,8.0,5.5
Maruti SwiftDzire,Maruti,SwiftDzire,8.285,3,15000.0,Individual,Petrol,Manual,22.0,1197.0,81.8,5.0,6.5
Maruti Swift,Maruti,Swift,7.7467155,5,71245.0,Dealer,Diesel,Manual,28.4,1248.0,74.0,5.0,3.75
Kia Seltos,Kia,Seltos,15.195,2,7000.0,Individual,Petrol,Manual,16.1,1353.0,138.0,5.0,13.0
Maruti Alto,Maruti,Alto,4.112027,3,20000.0,Individual,Petrol,Manual,23.95,998.0,67.05,5.0,3.6
Maruti Celerio,Maruti,Celerio,5.975,1,8700.0,Individual,Petrol,Manual,21.63,998.0,67.04,5.0,5.05
Maruti Alto,Maruti,Alto,4.065,2,25000.0,Individual,Petrol,Manual,24.7,796.0,47.3,5.0,3.1
Hyundai i20,Hyundai,i20,10.72,6,42000.0,Dealer,Petrol,Manual,18.6,1197.0,81.86,5.0,5.45
Mahindra Bolero,Mahindra,Bolero,9.87,15,120000.0,Individual,Diesel,Manual,13.6,2523.0,63.0,7.0,1.5
Maruti Baleno,Maruti,Baleno,8.375,3,50000.0,Individual,Petrol,Manual,21.4,1197.0,83.1,5.0,5.8
Maruti Wagon R,Maruti,Wagon R,6.24,10,58000.0,Individual,Petrol,Manual,18.9,998.0,67.1,5.0,2.5
Hyundai Verna,Hyundai,Verna,13.53,4,36000.0,Individual,Petrol,Manual,17.43,1396.0,105.5,5.0,6.5
Maruti Ertiga,Maruti,Ertiga,10.457891,3,30000.0,Individual,Diesel,Manual,25.47,1248.0,88.5,7.0,4.1
Ford Ecosport,Ford,Ecosport,11.965,6,162828.0,Dealer,Diesel,Manual,22.77,1498.0,98.59,5.0,5.31
Ford Ecosport,Ford,Ecosport,11.718629,3,7500.0,Individual,Diesel,Manual,23.0,1498.0,98.96,5.0,8.9
Tata Safari,Tata,Safari,18.13,5,47227.0,Dealer,Diesel,Manual,14.0,2179.0,138.1,7.0,7.75
Maruti Wagon R,Maruti,Wagon R,6.19,3,52000.0,Dealer,CNG,Manual,33.54,998.0,67.04,5.0,4.35
Ford Figo,Ford,Figo,9.21,9,74000.0,Dealer,Diesel,Manual,20.0,1399.0,68.05,5.0,1.85
Mahindra Bolero,Mahindra,Bolero,9.87,10,47000.0,Dealer,Diesel,Manual,15.96,2523.0,62.1,7.0,4.4
Hyundai i20,Hyundai,i20,10.145,6,50000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,4.5
Maruti Baleno,Maruti,Baleno,8.78,4,100000.0,Individual,Petrol,Manual,21.4,1197.0,83.1,5.0,6.0
Maruti Celerio,Maruti,Celerio,5.8,7,35000.0,Individual,Petrol,Manual,23.1,998.0,67.04,5.0,3.2
Hyundai i20,Hyundai,i20,10.810042,5,50000.0,Individual,Diesel,Manual,21.19,1396.0,88.73,5.0,7.0
Ford Aspire,Ford,Aspire,7.65,3,10000.0,Individual,Petrol,Manual,18.16,1196.0,86.8,5.0,6.3
Maruti Alto,Maruti,Alto,4.06,5,10370.0,Individual,Petrol,Manual,22.74,796.0,47.3,5.0,3.2
Honda City,Honda,City,14.74,8,62000.0,Dealer,Petrol,Manual,16.8,1497.0,116.3,5.0,4.65
Hyundai i20,Hyundai,i20,10.810042,5,40000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,5.5
Maruti Swift,Maruti,Swift,7.715,4,60000.0,Individual,Petrol,Manual,22.0,1197.0,81.8,5.0,4.45
Tata Safari,Tata,Safari,18.13,8,67231.0,Dealer,Diesel,Manual,14.0,2179.0,138.1,7.0,7.05
Maruti Wagon R,Maruti,Wagon R,6.005,8,64000.0,Dealer,CNG,Manual,33.54,998.0,67.04,5.0,2.7
Honda City,Honda,City,15.192461,7,63000.0,Dealer,Diesel,Manual,26.0,1498.0,98.6,5.0,4.75
Honda City,Honda,City,14.74,10,55000.0,Dealer,Petrol,Manual,16.9,1497.0,100.0,5.0,3.5
Hyundai i20,Hyundai,i20,10.72,5,11000.0,Dealer,Petrol,Manual,18.6,1197.0,81.83,5.0,5.75
Renault KWID,Renault,KWID,5.05,4,17000.0,Individual,Petrol,Manual,23.01,999.0,67.0,5.0,3.6
Maruti Alto,Maruti,Alto,4.06,4,25000.0,Individual,Petrol,Manual,24.7,796.0,47.3,5.0,2.75
Datsun GO,Datsun,GO,6.225,5,33350.0,Individual,Petrol,Manual,19.44,1198.0,67.0,7.0,3.2
Hyundai Grand,Hyundai,Grand,6.525,6,62000.0,Dealer,Petrol,Manual,18.9,1197.0,82.0,5.0,3.7
Maruti SwiftDzire,Maruti,SwiftDzire,8.285,12,59000.0,Individual,Petrol,Manual,17.5,1298.0,85.8,5.0,2.75
Honda City,Honda,City,14.74,7,86113.0,Dealer,Petrol,Manual,17.4,1497.0,117.3,5.0,5.5
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,3,10000.0,Individual,Diesel,Manual,28.4,1248.0,74.02,5.0,7.5
Maruti Wagon R,Maruti,Wagon R,6.24,6,92537.0,Individual,Petrol,Manual,20.51,998.0,67.04,5.0,2.72
Maruti Ciaz,Maruti,Ciaz,11.595719,2,27645.0,Dealer,Diesel,Manual,28.09,1248.0,88.5,5.0,9.51
Maruti Alto,Maruti,Alto,4.112027,8,46242.0,Individual,Petrol,Manual,20.92,998.0,67.1,5.0,2.8
Honda City,Honda,City,15.29,8,70000.0,Individual,Petrol,Manual,16.8,1497.0,116.3,5.0,5.45
Renault KWID,Renault,KWID,5.0675864,1,6000.0,Individual,Petrol,Manual,22.3,799.0,53.26,5.0,4.5
Hyundai i20,Hyundai,i20,10.24,4,64000.0,Dealer,Petrol,Manual,18.6,1197.0,81.83,5.0,4.8
Mahindra Scorpio,Mahindra,Scorpio,17.41,4,93000.0,Dealer,Diesel,Manual,15.4,1997.0,120.0,7.0,10.6
Maruti Alto,Maruti,Alto,4.065,8,26200.0,Dealer,Petrol,Manual,22.74,796.0,47.3,5.0,2.35
Maruti Baleno,Maruti,Baleno,8.55,4,25000.0,Individual,Petrol,Manual,21.4,1197.0,83.1,5.0,5.9
Hyundai Santro,Hyundai,Santro,6.39939,13,80000.0,Individual,Petrol,Manual,17.92,1086.0,62.1,5.0,1.1
Mahindra Scorpio,Mahindra,Scorpio,17.795,14,110000.0,Individual,Diesel,Manual,13.5,2179.0,115.0,5.0,2.8
Honda City,Honda,City,14.905,3,25000.0,Individual,Petrol,Manual,17.4,1497.0,117.3,5.0,7.5
Hyundai Grand,Hyundai,Grand,6.525,6,36000.0,Dealer,Petrol,Manual,18.9,1197.0,81.86,5.0,4.0
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,6,40000.0,Individual,Diesel,Manual,26.59,1248.0,74.0,5.0,5.3
Mahindra Thar,Mahindra,Thar,15.16,3,25000.0,Individual,Diesel,Manual,16.55,2498.0,105.0,6.0,8.7
Renault KWID,Renault,KWID,4.605,3,30038.0,Dealer,Petrol,Manual,25.17,799.0,53.3,5.0,2.95
Tata Tiago,Tata,Tiago,6.773722,4,53000.0,Individual,Diesel,Manual,27.28,1047.0,69.0,5.0,3.7
Maruti Swift,Maruti,Swift,7.825,3,5000.0,Individual,Petrol,Manual,21.21,1197.0,81.8,5.0,5.3
Renault KWID,Renault,KWID,4.855,4,35000.0,Individual,Petrol,Automatic,24.04,999.0,67.0,5.0,3.5
Ford Ecosport,Ford,Ecosport,11.765,8,62000.0,Dealer,Diesel,Manual,22.7,1498.0,89.84,5.0,4.7
Ford Aspire,Ford,Aspire,9.815,6,42000.0,Individual,Diesel,Manual,25.83,1498.0,99.0,5.0,3.9
Mahindra Scorpio,Mahindra,Scorpio,17.51,6,80000.0,Individual,Diesel,Manual,15.4,2179.0,120.0,7.0,9.2
Mahindra XUV500,Mahindra,XUV500,19.91,8,60000.0,Individual,Diesel,Manual,15.1,2179.0,140.0,7.0,5.5
Hyundai Verna,Hyundai,Verna,15.69,7,45000.0,Individual,Diesel,Manual,22.32,1582.0,126.32,5.0,6.35
Mahindra XUV500,Mahindra,XUV500,19.91,4,50000.0,Dealer,Diesel,Automatic,16.0,2179.0,140.0,7.0,12.5
Maruti Alto,Maruti,Alto,4.06,3,12000.0,Individual,Petrol,Manual,24.7,796.0,47.3,5.0,3.0
Honda City,Honda,City,14.905,3,12000.0,Individual,Petrol,Automatic,18.0,1497.0,117.6,5.0,9.6
Maruti Vitara,Maruti,Vitara,10.815,3,15000.0,Individual,Diesel,Manual,24.3,1248.0,88.5,5.0,7.5
Volkswagen Polo,Volkswagen,Polo,9.065,10,63000.0,Dealer,Petrol,Manual,16.47,1198.0,73.9,5.0,2.49
Ford Figo,Ford,Figo,9.185,10,160800.0,Individual,Diesel,Manual,20.0,1399.0,68.0,5.0,2.5
Hyundai Verna,Hyundai,Verna,15.465,7,120000.0,Individual,Diesel,Manual,22.32,1582.0,126.32,5.0,6.1
