car_name,brand,model,avg_cost_price,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,avg_cost_price_log,vehicle_age_log,km_driven_log,mileage_log,engine_log,max_power_log,seats_log,selling_price_log
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,8,45000.0,Dealer,Diesel,Manual,26.59,1248.0,74.0,5,3.9,2.2331784796930116,2.1972245773362196,10.714439990727769,3.3174533937597452,7.130098510125578,4.31748811353631,1.791759469228055,1.589235224579322
Honda City,Honda,City,14.74,14,77253.0,Dealer,Petrol,Manual,17.7,1497.0,78.0,5,1.45,2.756205228447844,2.70805020110221,11.254853973354733,2.928523564659441,7.311886164077165,4.3694478524670215,1.791759469228055,0.8960880440193766
Hyundai i20,Hyundai,i20,10.810042,3,25000.0,Individual,Petrol,Manual,17.19,1197.0,81.86,5,7.0,2.4689502187961105,1.3862943611198906,10.12667110305036,2.9008720218899873,7.088408778675395,4.417152444015314,1.791759469228055,2.0794415416798357
Renault KWID,Renault,KWID,5.05,4,30000.0,Individual,Petrol,Manual,23.01,999.0,67.0,5,3.4,1.8000583035691733,1.6094379124341003,10.308985993422082,3.178470419765933,6.907755278982137,4.219507705176107,1.791759469228055,1.4816045625986316
Honda Amaze,Honda,Amaze,8.47,5,39993.0,Dealer,Petrol,Manual,18.6,1199.0,88.76,5,4.65,2.2481289353953264,1.791759469228055,10.596484721844948,2.9755295856992126,7.090076835776092,4.497139465573745,1.791759469228055,1.731655562037541
Hyundai Santro,Hyundai,Santro,6.39939,12,80000.0,Individual,Petrol,Manual,17.92,1086.0,62.1,5,1.25,2.001397594198908,2.5649493574615367,11.289794413577894,2.9402195676561815,6.99117688712121,4.144720745365251,1.791759469228055,0.8109302162163288
Mahindra XUV500,Mahindra,XUV500,19.975,9,185000.0,Individual,Diesel,Manual,15.1,2179.0,140.0,7,6.0,3.0433312705401456,2.302585092994046,12.128116509451258,2.778819295684189,7.687080155783135,4.948759890378168,2.0794415416798357,1.9459101490553132
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,8,90000.0,Individual,Diesel,Manual,23.4,1248.0,74.0,5,3.8,2.2331784796930116,2.1972245773362196,11.407576060361786,3.194583116665151,7.130098510125578,4.31748811353631,1.791759469228055,1.5686159079797377
Hyundai i20,Hyundai,i20,10.810042,3,15000.0,Individual,Diesel,Manual,22.54,1396.0,88.73,5,8.5,2.4689502187961105,1.3862943611198906,9.61587214452889,3.1587011407245402,7.242082359256962,4.496805198721463,1.791759469228055,2.2512917986064953
Hyundai i20,Hyundai,i20,10.145,3,40000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5,5.98,2.4109910079112877,1.3862943611198906,10.596659732783579,2.9755295856992126,7.088408778675395,4.41679033671635,1.791759469228055,1.9430489195068723
Honda City,Honda,City,14.74,6,31180.0,Dealer,Petrol,Automatic,18.0,1497.0,117.3,5,7.0,2.756205228447844,1.9459101490553132,10.347564213938401,2.9444389791664403,7.311886164077165,4.77322379678111,1.791759469228055,2.0794415416798357
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,7,56000.0,Dealer,Diesel,Manual,23.4,1248.0,74.0,5,4.1,2.2331784796930116,2.0794415416798357,10.933124826700707,3.194583116665151,7.130098510125578,4.31748811353631,1.791759469228055,1.6292405210307834
Maruti Baleno,Maruti,Baleno,8.55,5,52427.0,Dealer,Petrol,Automatic,21.4,1197.0,83.1,5,5.9,2.256541174464876,1.791759469228055,10.867196078739436,3.1090609418310957,7.088408778675395,4.432006548835277,1.791759469228055,1.9315214254245805
Mahindra Bolero,Mahindra,Bolero,9.7,1,40000.0,Individual,Diesel,Manual,21.0,1498.0,74.96,7,8.5,2.3702437236421723,0.6931471805599453,10.596659732783579,3.091042453358316,7.312553498102598,4.3302068738913295,2.0794415416798357,2.2512917986064953
Mahindra KUV100,Mahindra,KUV100,7.815,3,17000.0,Individual,Petrol,Manual,18.15,1198.0,82.0,5,5.5,2.1764548223410936,1.3862943611198906,9.741027444837728,2.952302695706565,7.089243155027514,4.418840607796598,1.791759469228055,1.8718021769015913
Maruti Baleno,Maruti,Baleno,8.675,5,22000.0,Dealer,Petrol,Manual,15.4,1590.0,94.0,5,6.25,2.269545258630043,1.791759469228055,9.99884318585288,2.797281311569803,7.372118028337787,4.553876891600541,1.791759469228055,1.9810014688665833
Maruti SwiftDzire,Maruti,SwiftDzire,8.69,5,54000.0,Individual,Petrol,Manual,20.85,1197.0,83.14,5,6.0,2.271094382598577,1.791759469228055,10.896757843893464,3.084200939000168,7.088408778675395,4.4324820709083745,1.791759469228055,1.9459101490553132
Maruti Wagon R,Maruti,Wagon R,5.95,2,10000.0,Individual,Petrol,Manual,20.51,998.0,67.04,5,4.45,1.9387416321328352,1.0986122886681098,9.210440366976517,3.0685179539203564,6.906754778648554,4.2200957809833834,1.791759469228055,1.6956155736779295
Maruti Ignis,Maruti,Ignis,7.165,2,20000.0,Individual,Petrol,Manual,20.89,1197.0,81.8,5,5.3,2.099856721750417,1.0986122886681098,9.90353755128617,3.086029883652105,7.088408778675395,4.416428098248192,1.791759469228055,1.8405496636728618
Maruti Wagon R,Maruti,Wagon R,6.005,3,53237.0,Trustmark Dealer,CNG,Manual,26.6,998.0,58.16,5,4.1,1.9466241961260033,1.3862943611198906,10.882527706063392,3.3178157865444713,6.906754778648554,4.080245635263358,1.791759469228055,1.6292405210307834
Datsun RediGO,Datsun,RediGO,4.395,3,27263.0,Individual,Petrol,Manual,22.5,999.0,68.0,5,3.5,1.6854725951746974,1.3862943611198906,10.213322429629041,3.1570004211501135,6.907755278982137,4.23410650459726,1.791759469228055,1.5040773967762742
Hyundai Verna,Hyundai,Verna,15.465,7,110000.0,Individual,Diesel,Manual,22.32,1582.0,126.3,5,5.2,2.8012369250957367,2.0794415416798357,11.608244735642321,3.1493113483958517,7.367077059881012,4.846546529536321,1.791759469228055,1.8245492612873577
Hyundai i20,Hyundai,i20,11.21,5,70000.0,Individual,Diesel,Manual,22.54,1396.0,88.73,5,7.5,2.5022552912468536,1.791759469228055,11.156264806643742,3.1587011407245402,7.242082359256962,4.496805198721463,1.791759469228055,2.1400661634962708
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,4,70000.0,Individual,Diesel,Manual,26.59,1248.0,74.0,5,5.6,2.2331784796930116,1.6094379124341003,11.156264806643742,3.3174533937597452,7.130098510125578,4.31748811353631,1.791759469228055,1.8870696345827689
Hyundai i20,Hyundai,i20,10.72,2,39000.0,Dealer,Petrol,Manual,18.6,1197.0,81.83,5,6.55,2.461296806932894,1.0986122886681098,10.571342565808699,2.9755295856992126,7.088408778675395,4.41679033671635,1.791759469228055,2.0215475885238288
Hyundai Santro,Hyundai,Santro,6.39939,14,56000.0,Dealer,Petrol,Manual,17.8,1086.0,63.0,5,1.25,2.001397594198908,2.70805020110221,10.933124826700707,2.933856829254017,6.99117688712121,4.1588830833596715,1.791759469228055,0.8109302162163288
Hyundai i20,Hyundai,i20,10.475,3,34000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5,5.5,2.4401707891901574,1.3862943611198906,10.434145214930487,2.9755295856992126,7.088408778675395,4.41679033671635,1.791759469228055,1.8718021769015913
Mahindra Scorpio,Mahindra,Scorpio,17.51,4,50000.0,Individual,Diesel,Manual,15.4,1997.0,120.0,7,11.5,2.9183111389507133,1.6094379124341003,10.819798284210286,2.797281311569803,7.599901959208498,4.795790545596741,2.0794415416798357,2.5257286443082556
Volkswagen Vento,Volkswagen,Vento,13.294659,9,77400.0,Individual,Diesel,Manual,20.54,1598.0,103.6,5,5.0,2.659885947272234,2.302585092994046,11.256754979390998,3.069911714231832,7.377133712833954,4.65014353704307,1.791759469228055,1.791759469228055
Mahindra Marazzo,Mahindra,Marazzo,15.16,2,36000.0,Individual,Diesel,Manual,17.3,1497.0,121.0,7,9.9,2.782539043650629,1.0986122886681098,10.491301994830229,2.906901018156694,7.311886164077165,4.804021044733257,2.0794415416798357,2.3887627542378747
Hyundai Verna,Hyundai,Verna,15.455,8,47876.0,Dealer,Diesel,Manual,25.0,1493.0,113.42,5,5.51,2.8006293777587827,2.1972245773362196,10.776390501067295,3.258096538021482,7.309212365692763,4.739875872837458,1.791759469228055,1.8733394913789774
Mahindra XUV500,Mahindra,XUV500,19.91,3,21500.0,Individual,Diesel,Automatic,15.1,2179.0,152.87,7,16.5,3.040227506143178,1.3862943611198906,9.975854724662028,2.778819295684189,7.687080155783135,5.036108058335924,2.0794415416798357,2.8622008809294686
Hyundai Grand,Hyundai,Grand,7.071195,6,75000.0,Dealer,Diesel,Manual,24.0,1120.0,70.0,5,3.5,2.0883015661842848,1.9459101490553132,11.225256725762893,3.2188758248682006,7.02197642307216,4.2626798770413155,1.791759469228055,1.5040773967762742
Ford Aspire,Ford,Aspire,7.775,4,58000.0,Dealer,Petrol,Manual,18.16,1196.0,86.8,5,5.0,2.171906780220013,1.6094379124341003,10.968215530759236,2.9528247645788372,7.087573705557973,4.475061535399132,1.791759469228055,1.791759469228055
Maruti SwiftDzire,Maruti,SwiftDzire,8.555,3,30000.0,Individual,Petrol,Manual,21.21,1197.0,81.8,5,5.75,2.2570646096310933,1.3862943611198906,10.308985993422082,3.100542596684933,7.088408778675395,4.416428098248192,1.791759469228055,1.9095425048844386
Hyundai Grand,Hyundai,Grand,7.071195,3,50000.0,Individual,Diesel,Manual,24.0,1186.0,73.97,5,5.45,2.0883015661842848,1.3862943611198906,10.819798284210286,3.2188758248682006,7.079184394609668,4.317088049797525,1.791759469228055,1.8640801012363841
Ford Figo,Ford,Figo,6.965,4,19093.0,Trustmark Dealer,Petrol,Manual,18.16,1196.0,86.8,5,5.25,2.0750569625193114,1.6094379124341003,9.857129428557979,2.9528247645788372,7.087573705557973,4.475061535399132,1.791759469228055,1.8325814637483102
Honda Amaze,Honda,Amaze,8.435,7,50000.0,Individual,Petrol,Manual,18.0,1198.0,86.7,5,4.0,2.2444262232949903,2.0794415416798357,10.819798284210286,2.9444389791664403,7.089243155027514,4.473921864580443,1.791759469228055,1.6094379124341003
Maruti Wagon R,Maruti,Wagon R,6.05,15,37000.0,Dealer,Petrol,Manual,14.0,1061.0,64.0,5,1.55,1.9530276438787675,2.772588722239781,10.518700218288165,2.70805020110221,6.967909201801884,4.174387269895637,1.791759469228055,0.9360933404708383
Maruti SwiftDzire,Maruti,SwiftDzire,8.329473,5,47000.0,Dealer,Diesel,Manual,26.59,1248.0,74.0,5,5.45,2.2331784796930116,1.791759469228055,10.757924157061597,3.3174533937597452,7.130098510125578,4.31748811353631,1.791759469228055,1.8640801012363841
Honda City,Honda,City,15.29,8,70000.0,Individual,Petrol,Manual,16.8,1497.0,116.3,5,5.45,2.790551420272212,2.1972245773362196,11.156264806643742,2.8791984144362717,7.311886164077165,4.76473478167612,1.791759469228055,1.8640801012363841
Renault KWID,Renault,KWID,4.855,5,25000.0,Individual,Petrol,Manual,25.17,799.0,53.3,5,2.4,1.7672960003073213,1.791759469228055,10.12667110305036,3.264613719457375,6.684611727667927,3.994524212889439,1.791759469228055,1.22377545967136
Maruti Vitara,Maruti,Vitara,10.815,3,26000.0,Dealer,Diesel,Manual,24.3,1248.0,88.5,5,7.25,2.4693698751232804,1.3862943611198906,10.165890277802454,3.2308043655777645,7.130098510125578,4.4942386252808095,1.791759469228055,2.1102132003465894
Ford Aspire,Ford,Aspire,7.65,4,30000.0,Individual,Petrol,Manual,18.16,1196.0,86.8,5,4.8,2.1575593319689244,1.6094379124341003,10.308985993422082,2.9528247645788372,7.087573705557973,4.475061535399132,1.791759469228055,1.7578579504376943
Hyundai i20,Hyundai,i20,10.475,8,15000.0,Individual,Petrol,Manual,18.5,1197.0,82.9,5,3.75,2.4401707891901574,2.1972245773362196,9.61587214452889,2.970414465569701,7.088408778675395,4.429625631660037,1.791759469228055,1.55814461804655
Maruti Swift,Maruti,Swift,7.7467155,10,160000.0,Individual,Diesel,Manual,17.8,1248.0,75.0,5,2.25,2.1686782636910547,2.3978952727983707,11.982935344196433,2.933856829254017,7.130098510125578,4.330733340286331,1.791759469228055,1.1786549963416462
Tata Tiago,Tata,Tiago,6.76,4,32100.0,Individual,Petrol,Manual,23.84,1199.0,84.0,5,4.0,2.0489823636902087,1.6094379124341003,10.376642461280849,3.2124552632081076,7.090076835776092,4.442651256490317,1.791759469228055,1.6094379124341003
Hyundai i20,Hyundai,i20,10.72,5,22000.0,Dealer,Petrol,Manual,18.5,1197.0,82.9,5,5.5,2.461296806932894,1.791759469228055,9.99884318585288,2.970414465569701,7.088408778675395,4.429625631660037,1.791759469228055,1.8718021769015913
Mahindra Scorpio,Mahindra,Scorpio,17.309855,5,44000.0,Dealer,Diesel,Manual,15.4,2179.0,120.0,7,10.5,2.907439412584193,1.791759469228055,10.691967639914864,2.797281311569803,7.687080155783135,4.795790545596741,2.0794415416798357,2.4423470353692043
Volkswagen Polo,Volkswagen,Polo,9.065,5,78000.0,Dealer,Petrol,Manual,18.78,1198.0,74.0,5,4.5,2.3090640174010733,1.791759469228055,11.264476926102367,2.9846713609086963,7.089243155027514,4.31748811353631,1.791759469228055,1.7047480922384253
Maruti Wagon R,Maruti,Wagon R,6.05,7,37000.0,Individual,Petrol,Manual,20.51,998.0,67.04,5,3.5,1.9530276438787675,2.0794415416798357,10.518700218288165,3.0685179539203564,6.906754778648554,4.2200957809833834,1.791759469228055,1.5040773967762742
Honda City,Honda,City,16.17,7,69000.0,Dealer,Diesel,Manual,25.1,1498.0,98.6,5,5.5,2.8431636793528288,2.0794415416798357,11.141876276228,3.261935328944346,7.312553498102598,4.6011621492704835,1.791759469228055,1.8718021769015913
Kia Seltos,Kia,Seltos,15.195,2,12120.0,Individual,Petrol,Manual,16.8,1497.0,113.4,5,10.8,2.7847025337794653,1.0986122886681098,9.402694764470512,2.8791984144362717,7.311886164077165,4.739701092283799,1.791759469228055,2.4680995476355903
Maruti Baleno,Maruti,Baleno,8.693568,5,52000.0,Dealer,Petrol,Manual,21.01,1197.0,81.8,5,5.75,2.2714625964761543,1.791759469228055,10.859018228147887,3.091496905937363,7.088408778675395,4.416428098248192,1.791759469228055,1.9095425048844386
Toyota Innova,Toyota,Innova,24.86143,5,120000.0,Individual,Diesel,Manual,12.99,2494.0,100.6,8,9.5,3.252752639197715,1.791759469228055,11.695255355062795,2.638342772317001,7.822044008185619,4.621043520125888,2.1972245773362196,2.3513752571634776
Maruti Alto,Maruti,Alto,4.065,8,55000.0,Individual,Petrol,Manual,22.74,796.0,47.3,5,2.3,1.6223541489978746,2.1972245773362196,10.915106645867503,3.1671613795403326,6.680854678790215,3.877431544862679,1.791759469228055,1.1939224540228235
Hyundai i20,Hyundai,i20,9.94,10,160000.0,Individual,Diesel,Manual,21.9,1396.0,90.0,5,2.7,2.3924257586376463,2.3978952727983707,11.982935344196433,3.131136893902127,7.242082359256962,4.51085950651685,1.791759469228055,1.3083328325376695
Ford Figo,Ford,Figo,7.02,10,40000.0,Individual,Petrol,Manual,15.6,1196.0,70.0,5,1.3,2.081938419500183,2.3978952727983707,10.596659732783579,2.8094027183426014,7.087573705557973,4.2626798770413155,1.791759469228055,0.8329091022030535
Maruti SwiftDzire,Maruti,SwiftDzire,8.24,9,46000.0,Dealer,Petrol,Manual,19.1,1197.0,85.8,5,3.7,2.2235418608828312,2.302585092994046,10.736418414365376,3.000719834043623,7.088408778675395,4.463606656824804,1.791759469228055,1.5475625188614843
Maruti Baleno,Maruti,Baleno,8.55,4,25000.0,Dealer,Petrol,Manual,21.4,1197.0,83.1,5,5.7,2.256541174464876,1.6094379124341003,10.12667110305036,3.1090609418310957,7.088408778675395,4.432006548835277,1.791759469228055,1.90210749792903
Volkswagen Polo,Volkswagen,Polo,9.283831,8,90000.0,Dealer,Diesel,Manual,22.07,1199.0,73.9,5,3.65,2.330572821230334,2.1972245773362196,11.407576060361786,3.13853305895741,7.090076835776092,4.316153910895388,1.791759469228055,1.5368672401083898
Hyundai i20,Hyundai,i20,10.810042,9,49566.0,Dealer,Petrol,Manual,18.5,1197.0,82.85,5,2.8,2.4689502187961105,2.302585092994046,10.811080568707087,2.970414465569701,7.088408778675395,4.429029470071496,1.791759469228055,1.3350010541839938
Hyundai Verna,Hyundai,Verna,15.69,3,14000.0,Dealer,Diesel,Automatic,22.0,1582.0,126.2,5,12.5,2.81480971253194,1.3862943611198906,9.546884034617925,3.1354942159291497,7.367077059881012,4.845760626914215,1.791759469228055,2.6026896854443837
Hyundai i20,Hyundai,i20,10.72,5,11000.0,Dealer,Petrol,Manual,18.6,1197.0,81.83,5,5.9,2.461296806932894,1.791759469228055,9.305741456739435,2.9755295856992126,7.088408778675395,4.41679033671635,1.791759469228055,1.9315214254245805
Maruti Celerio,Maruti,Celerio,5.975,3,5000.0,Individual,Petrol,Automatic,23.1,998.0,67.04,5,4.75,1.942332314034679,1.3862943611198906,8.517393171418904,3.1822118563252286,6.906754778648554,4.2200957809833834,1.791759469228055,1.749199854809259
Ford Ecosport,Ford,Ecosport,11.965,4,55000.0,Dealer,Diesel,Manual,23.0,1498.0,98.96,5,6.85,2.562253430759844,1.6094379124341003,10.915106645867503,3.1780538303479458,7.312553498102598,4.6047700968078145,1.791759469228055,2.0605135196455997
Hyundai Verna,Hyundai,Verna,14.583057,9,65000.0,Dealer,Diesel,Automatic,19.08,1582.0,126.32,5,3.8,2.7461842601866837,2.302585092994046,11.082157933374816,2.9997242910240294,7.367077059881012,4.846703600016973,1.791759469228055,1.5686159079797377
Renault KWID,Renault,KWID,5.225,3,22000.0,Individual,Petrol,Manual,23.01,999.0,67.0,5,3.3,1.828573427030702,1.3862943611198906,9.99884318585288,3.178470419765933,6.907755278982137,4.219507705176107,1.791759469228055,1.4586150116102805
Maruti Baleno,Maruti,Baleno,8.55,3,7671.0,Trustmark Dealer,Petrol,Manual,21.01,1197.0,81.8,5,6.5,2.256541174464876,1.3862943611198906,8.945332616563274,3.091496905937363,7.088408778675395,4.416428098248192,1.791759469228055,2.0149030205422647
Maruti Wagon R,Maruti,Wagon R,5.95,5,66000.0,Individual,Petrol,Manual,20.51,998.0,67.04,5,3.25,1.9387416321328352,1.791759469228055,11.097425172408931,3.0685179539203564,6.906754778648554,4.2200957809833834,1.791759469228055,1.4469189829363254
Maruti SwiftDzire,Maruti,SwiftDzire,8.3,3,45156.0,Dealer,Petrol,Automatic,21.21,1197.0,81.8,5,6.4,2.230014420668335,1.3862943611198906,10.717900585587556,3.100542596684933,7.088408778675395,4.416428098248192,1.791759469228055,2.001480013097615
Hyundai Venue,Hyundai,Venue,9.655,2,25000.0,Individual,Petrol,Manual,18.27,998.0,118.35,5,9.49,2.3660292404892185,1.0986122886681098,10.12667110305036,2.958549506181525,6.906754778648554,4.78206033999993,1.791759469228055,2.3504224005891556
Hyundai Verna,Hyundai,Verna,15.465,6,120000.0,Individual,Diesel,Manual,23.9,1582.0,126.2,5,6.6,2.8012369250957367,1.9459101490553132,11.695255355062795,3.2148677881505923,7.367077059881012,4.845760626914215,1.791759469228055,2.0281482347439392
Maruti Swift,Maruti,Swift,7.81,7,28000.0,Dealer,Petrol,Manual,16.1,1197.0,85.0,5,4.35,2.175887433453144,2.0794415416798357,10.239995502805316,2.8390784858167852,7.088408778675395,4.454347296253507,1.791759469228055,1.6770965430822269
Hyundai i20,Hyundai,i20,11.415,8,55000.0,Dealer,Diesel,Manual,21.9,1396.0,88.76,5,3.85,2.518905415887478,2.1972245773362196,10.915106645867503,3.131136893902127,7.242082359256962,4.497139465573745,1.791759469228055,1.5789786852860037
Hyundai Verna,Hyundai,Verna,15.69,2,14000.0,Dealer,Diesel,Automatic,22.0,1582.0,126.2,5,12.5,2.81480971253194,1.0986122886681098,9.546884034617925,3.1354942159291497,7.367077059881012,4.845760626914215,1.791759469228055,2.6026896854443837
Maruti Wagon R,Maruti,Wagon R,6.185,12,98780.0,Dealer,Petrol,Manual,18.9,998.0,67.1,5,1.55,1.9719955115671108,2.5649493574615367,11.500660557550157,2.9907197125611136,6.906754778648554,4.2209771907490214,1.791759469228055,0.9360933404708383
Maruti Swift,Maruti,Swift,7.7467155,6,58000.0,Dealer,Diesel,Manual,25.2,1248.0,74.0,5,4.15,2.1686782636910547,1.9459101490553132,10.968215530759236,3.2657594398868772,7.130098510125578,4.31748811353631,1.791759469228055,1.6389967331935924
Maruti Alto,Maruti,Alto,4.112027,10,30000.0,Individual,Petrol,Manual,20.92,998.0,67.1,5,2.51,1.6315960316686866,2.3978952727983707,10.308985993422082,3.087399465560378,6.906754778648554,4.2209771907490214,1.791759469228055,1.2556160347607537
Mahindra Scorpio,Mahindra,Scorpio,17.51,5,46400.0,Dealer,Diesel,Manual,15.4,2179.0,120.0,7,11.5,2.9183111389507133,1.791759469228055,10.74507628970625,2.797281311569803,7.687080155783135,4.795790545596741,2.0794415416798357,2.5257286443082556
Hyundai i10,Hyundai,i10,7.1382666,7,32111.0,Trustmark Dealer,Petrol,Manual,19.81,1086.0,68.05,5,3.1,2.0965772044394058,2.0794415416798357,10.376985071036119,3.035433614742034,6.99117688712121,4.234830924051648,1.791759469228055,1.4109869504499126
Datsun GO,Datsun,GO,6.34,6,35000.0,Individual,Petrol,Manual,19.44,1198.0,67.0,7,3.5,1.993338863414965,1.9459101490553132,10.463131911491967,3.0174937914635667,7.089243155027514,4.219507705176107,2.0794415416798357,1.5040773967762742
